gene,label
RAMP1,NA
TSHB,NA
GPHB5,NA
GPHA2,NA
CALCRL,NA
RAMP2,NA
GLP2R,NA
FSHB,NA
ITGAV,1
ITGB5,NA
STX4,NA
SEC22B,0
GLI3,NA
PTCH1,1
GLI1,1
GLI2,NA
SUFU,1
NUMB,NA
ITCH,NA
ABHD5,NA
PLIN1,NA
LIPE,NA
FABP4,NA
KCNJ16,NA
KCNJ15,NA
KCNJ10,NA
CXCL16,NA
CXCR6,NA
C5AR1,NA
C5,NA
CX3CL1,NA
CX3CR1,NA
TAS1R2,NA
TAS1R3,NA
TAS1R1,NA
GABBR2,NA
GABBR1,NA
IL10RB,0
GABPB1,0
GABPA,NA
TNPO1,NA
KIF17,NA
GSTA1,NA
GSTA2,NA
GCLC,NA
GCLM,NA
INS,NA
INSR,NA
ABCD2,NA
ABCD1,NA
ABCD3,NA
ABCG5,NA
ABCG8,NA
CHRNB2,NA
CHRNA4,NA
CHRNA3,NA
CHRNB4,NA
FOXM1,NA
PLK1,NA
CENPF,NA
TACR1,NA
TAC1,NA
TACR2,NA
OXTR,NA
OXT,NA
CRH,NA
CRHBP,NA
ADGRE5,NA
CD55,NA
CBY1,0
CTNNB1,1
CTNNBIP1,NA
CHD8,NA
MCFD2,NA
LMAN1,NA
TMED10,NA
TMED2,0
CD4,NA
LCK,1
RAB3GAP1,NA
RAB3GAP2,NA
NTRK2,NA
BDNF,NA
NTF4,0
IL2RB,NA
JAK1,1
JAK3,1
IL2RG,NA
PTK2B,NA
EBI3,NA
IL27,NA
NECTIN1,NA
NECTIN3,NA
NECTIN4,0
NECTIN2,NA
PVR,NA
IL12B,NA
IL12A,NA
IL12RB1,NA
IL12RB2,NA
JAK2,1
TLR2,NA
TLR1,NA
TLR6,NA
RBPJ,NA
SNW1,0
NOTCH1,1
HIF1A,1
JAG1,NA
JAG2,NA
CBL,1
NCAM1,NA
NCAN,0
COL4A2,NA
COL4A1,NA
HLA-C,NA
B2M,1
KIR2DS5,NA
TYROBP,NA
CLEC5A,NA
NCR2,NA
SIRPB1,NA
TREM1,NA
TREM2,NA
CD300E,NA
CD300LB,NA
GRAP2,NA
LCP2,NA
SPRY2,NA
DAB2,NA
LRP2,NA
VAMP7,NA
AGFG1,NA
AMPH,NA
BIN1,NA
SQSTM1,NA
MAP3K3,NA
EIF4EBP1,NA
EIF4E,NA
NOTCH2,1
IL18BP,NA
IL18,1
IL18R1,NA
IL15,NA
IL15RA,NA
IRF3,NA
IRF7,NA
CREBBP,1
NOTCH3,NA
ELF3,1
CNTN1,NA
MDK,NA
DLL1,NA
YBX1,NA
HEY1,1
FOXH1,0
DRAP1,NA
CDON,NA
BOC,NA
IL23A,NA
IL23R,NA
STAT4,NA
KNG1,NA
C1QBP,NA
F8,NA
VWF,NA
F9,NA
F13B,NA
F13A1,NA
PROC,NA
PROCR,NA
LY96,NA
TLR4,1
S100A9,NA
S100A8,NA
JUND,NA
FOSB,NA
CFB,NA
C3,NA
CKM,NA
CKB,1
PRDX6,NA
GSTP1,1
HSF1,NA
HSBP1,NA
YWHAE,1
CCAR2,NA
SIRT1,NA
ID1,1
ETS2,NA
ERF,NA
MAP3K5,NA
CDKN2B,NA
CEBPB,NA
CLEC4C,NA
FCER1G,NA
CLEC4E,NA
MAP3K14,NA
CHUK,NA
NFKB2,1
RELB,NA
MALT1,1
CASP8,1
CD209,1
ICAM2,NA
GTSE1,0
CDC20,NA
MAD2L1,NA
MYC,1
CDK2,NA
CCNE1,1
GMNN,NA
CDT1,NA
DBF4,0
CDC7,0
CCNA1,NA
CCNA2,0
PHLDA1,NA
CTDNEP1,NA
CNEP1R1,NA
ESPL1,NA
PTTG1,NA
MAU2,NA
NIPBL,NA
FBXO5,NA
FERMT2,NA
FBLIM1,0
ITGB1,NA
ILK,NA
PARVA,NA
ARHGEF6,NA
PARVB,NA
RSU1,NA
LIMS1,0
ACTN1,NA
ITGA6,NA
ITGB4,NA
CD47,NA
SIRPA,1
SIRPG,NA
NPHS1,NA
KIRREL1,0
PPL,NA
EVPL,NA
KAZN,NA
KLK5,NA
SPINK5,NA
KLK12,NA
SPINK6,NA
KLK13,NA
KLK14,NA
SPINK9,NA
FGFR1,1
ANOS1,0
ABCA1,NA
APOA1,NA
ANGPTL3,NA
ANGPTL8,NA
UBA2,NA
SAE1,NA
CCND3,1
MAPK6,0
ITGA3,NA
ITGA7,NA
ITGA2,NA
ITGA1,NA
ATP6AP2,NA
REN,NA
NSUN4,NA
MTERF4,NA
ITGB3,NA
ITGA2B,NA
LDLR,NA
PCSK9,NA
TMEM173,NA
TBK1,NA
CD27,NA
CD70,NA
EDAR,NA
EDA,NA
EDA2R,0
TNFSF18,NA
TNFRSF18,NA
TNFRSF4,NA
TNFSF4,NA
TNFRSF25,NA
TNFSF15,NA
TNFSF8,NA
TNFRSF8,NA
TNFSF9,NA
TNFRSF9,NA
PTK6,1
KHDRBS1,NA
ARAP1,NA
AKT1,1
DOK1,NA
PTPN1,NA
STAP2,NA
SOCS3,NA
ITGA10,NA
GP6,NA
RAF1,1
YWHAZ,NA
PDPN,NA
CLEC1B,0
PDGFA,NA
PDGFB,1
ITGAM,NA
ITGB2,NA
JAM2,NA
JAM3,NA
ITGA4,NA
ITGAL,NA
ITGAX,NA
CD48,NA
CD244,NA
CD58,NA
CD2,NA
ITGA5,NA
JAML,0
CXADR,NA
MIF,NA
CD74,1
TEK,NA
ANGPT1,NA
ANGPT2,NA
ANGPT4,NA
INPP5D,NA
PLCG1,1
BSG,NA
PPIL2,NA
CAV1,1
PPIA,NA
SLC7A7,NA
SLC3A2,NA
SLC7A8,NA
SLC7A9,NA
SLC7A11,NA
SLC7A5,NA
SLC7A10,NA
SLC7A6,NA
GAD2,NA
GAD1,NA
HTR3D,NA
HTR3A,0
HTR3E,NA
HTR3B,NA
HTR3C,NA
SMAD2,1
GBA,NA
PSAP,NA
LY86,NA
CD180,NA
COLEC11,NA
MASP1,NA
GJB1,NA
GJB2,NA
GJA1,NA
TJP1,NA
NEDD4,NA
PPM1B,NA
FLNB,NA
IL33,NA
IL1RL1,NA
IL37,NA
CSF2RB,NA
CSF2RA,NA
CSF2,1
IL5RA,NA
IL5,NA
TEC,1
VAV1,1
BLNK,NA
IL4R,NA
IL13RA1,NA
IL13,NA
IL13RA2,NA
IL7R,1
SMARCA4,1
BRWD1,NA
IL22RA2,0
IL22,NA
IFNLR1,NA
IL16,NA
IL32,NA
PRTN3,NA
FLT3,1
FLT3LG,NA
CSF3,NA
CSF3R,1
TXLNA,0
STX1A,NA
GHR,NA
PRLR,NA
TRAF3,NA
TNFRSF1B,NA
CD40LG,0
CD40,NA
TNFRSF13C,NA
TNFSF13B,NA
PAG1,NA
CSK,NA
PTPN22,NA
LAT,NA
FYB1,0
NCK1,0
MAP3K7,NA
TAB2,NA
ICOS,NA
ICOSLG,NA
TNFRSF14,1
BTLA,NA
CD80,NA
CD28,1
CD86,NA
NFKBIA,NA
CLTC,1
CLTA,NA
HLA-DMB,NA
HLA-DMA,NA
CD96,NA
ITGB7,NA
HLA-E,NA
CDH1,1
KLRG1,NA
CD226,0
CD200,NA
CD200R1,NA
HLA-G,NA
KIR2DS2,NA
CLEC2D,NA
KLRB1,NA
XDH,NA
BTN1A1,NA
ITGB6,NA
TGFB1,1
LTBP4,NA
ITGA8,NA
ITGB8,NA
SNCAIP,NA
PRKN,NA
SNCA,NA
USP9X,NA
SORL1,NA
APP,NA
ATG12,0
ATG7,NA
ATG10,NA
ATG5,NA
CIDEA,NA
CIDEC,NA
PDGFRB,1
PDGFRA,1
TGFBR2,1
YWHAB,NA
MAP2K2,1
MAP2K1,1
KSR1,0
MARK3,NA
CDK9,NA
CCNT1,NA
ISCA2,NA
ISCA1,NA
NLRX1,NA
MAVS,NA
ROBO1,NA
SLIT2,NA
NTF3,NA
AKAP5,NA
ROBO3,NA
CFH,NA
CD19,NA
CD81,NA
SERPING1,NA
C1S,NA
C1R,NA
CPN2,NA
CPN1,NA
L1CAM,NA
NRP1,NA
ITGA9,NA
MAPK3,NA
MAPK1,1
C6,NA
FARSA,0
FARSB,0
HBB,NA
HBA1,NA
HBA2,NA
SMURF2,NA
SMURF1,NA
NEDD4L,NA
STUB1,NA
UBE2M,NA
NEDD8,NA
RNF20,NA
RNF40,NA
FRK,NA
TRIM27,1
ITGA11,NA
ITGAD,NA
ITGAE,NA
HSPG2,NA
LDHA,NA
LDHB,NA
SUCLG1,NA
SUCLG2,NA
SUCLA2,NA
TIMP1,1
MMP9,1
MMP14,1
TIMP2,NA
RBBP7,NA
HAT1,NA
PAX3,1
NCOA1,1
BAP1,1
HCFC1,NA
TAB1,NA
SKP2,1
UFD1,0
VCP,NA
YOD1,NA
ZRANB1,NA
APC,1
ATXN3,NA
STAMBP,NA
STAM,NA
NTRK3,1
PTPRS,NA
SERPINE1,0
VTN,NA
DAG1,NA
AGRN,NA
BCL10,1
SLIT1,NA
RALGAPA2,0
RALGAPB,0
GOLGB1,NA
ACBD3,NA
HPS4,NA
HPS1,NA
INHBB,NA
INHBA,NA
FAM20A,NA
FAM20C,NA
PARP1,1
RAD52,NA
RNF168,NA
SP100,NA
TDG,NA
WRN,1
XPC,1
MITF,1
SP3,NA
TP53BP1,NA
CDKN2A,1
HIC1,NA
FOXL2,1
DDX17,NA
SATB1,NA
SUZ12,1
HDAC4,NA
HDAC1,NA
HDAC2,NA
CHD3,NA
HNRNPC,NA
NOP58,NA
TOP1,1
TOP2A,NA
TOP2B,NA
SETDB1,NA
ATF7IP,NA
PRMT5,NA
WDR77,NA
PINK1,NA
ERBB4,1
RELN,NA
VLDLR,NA
ASGR1,NA
ASGR2,NA
EGR1,1
SALL4,1
MAF1,NA
ARHGAP35,NA
RASA1,NA
BCAR1,NA
RXRG,NA
RARG,NA
RXRA,NA
RARA,1
RXRB,NA
RARB,NA
PPARD,NA
NRP2,NA
FLT1,NA
KITLG,NA
KIT,1
PRKCA,NA
PTPRU,NA
NCOR1,1
TNS4,NA
MET,1
LRIG1,NA
PAN2,NA
PAN3,NA
POMT2,NA
POMT1,NA
C1GALT1C1,NA
C1GALT1,NA
PMPCA,NA
PMPCB,NA
ATF6,NA
HSPA5,NA
EIF2AK3,NA
ERN1,NA
PIK3R4,NA
PIK3C3,NA
TKFC,0
IFIH1,NA
CFL1,NA
LIMK1,NA
PGLYRP4,0
PGLYRP3,0
PPARG,1
SLC3A1,NA
DACT1,NA
AXIN1,1
GSK3B,NA
PFKP,NA
PFKL,NA
PFKM,NA
GCKR,NA
GCK,NA
ANK1,1
NRCAM,NA
CNTN2,NA
CHL1,NA
NFASC,NA
DCX,NA
SDCBP,NA
PLXNB1,NA
ERBB2,1
TLN1,NA
PIP5K1C,NA
PLXND1,NA
SEMA3E,NA
SEMA4A,NA
PTPRC,1
SEMA4D,NA
CD72,NA
PLXNC1,0
SEMA7A,NA
FYN,NA
ROBO2,1
SAV1,NA
STK3,NA
STK4,NA
TJP2,NA
WWTR1,1
ADD2,NA
ADD1,NA
ADD3,NA
AZGP1,NA
PIP,NA
LRRC8A,NA
LRRC8B,NA
LRRC8E,NA
LRRC8D,NA
LRRC8C,NA
CDC25C,NA
SRPRB,NA
SRPRA,NA
MLXIPL,NA
MLX,NA
SLC16A3,NA
SLC16A1,NA
PAK1,NA
NF2,1
FLNA,1
PKN1,NA
CIT,NA
CDKN1B,1
CFTR,NA
GOPC,1
NAE1,NA
UBA3,0
UBE2F,NA
CUL4B,NA
CUL4A,NA
RBX1,NA
CUL9,NA
LEPR,NA
TIMM13,NA
TIMM8B,NA
TIMM8A,NA
TIMM10,NA
TIMM9,NA
RNGTT,NA
RNMT,NA
SRRM1,NA
SRRM2,NA
EPRS,NA
DUS2,0
WDR4,NA
METTL1,NA
QTRT1,NA
QTRT2,0
TRMT6,0
TRMT61A,0
PIGX,NA
PIGM,NA
PIGF,NA
PIGO,NA
PIGG,NA
EIF4A2,1
EIF4A1,NA
PSEN1,NA
NCSTN,NA
PPP1CC,NA
PPP1R15A,NA
MMADHC,0
MMACHC,NA
GP1BB,NA
GP1BA,NA
HLA-DOA,0
HLA-DOB,NA
NFKBIE,1
REL,1
TLE1,NA
STXBP3,0
ATP6V0D2,NA
ATP6V0D1,NA
ORC2,NA
MCM8,NA
CD8B,0
CD8A,NA
CD3E,NA
CD3G,NA
CD3D,NA
SEC31A,NA
SEC13,0
KLRD1,NA
KLRC2,NA
STXBP1,NA
BMI1,NA
CBX4,NA
HSP90AA1,1
FKBP6,NA
TTC21B,NA
WDR35,NA
PTK2,NA
MAFB,1
VAMP2,NA
DDB1,NA
IL17A,1
IL17F,NA
KHSRP,NA
PBX1,1
PKNOX1,NA
DLG3,NA
DLG4,NA
CD1A,NA
CD1B,NA
CD1D,NA
CD1C,NA
RAG2,NA
RAG1,NA
ERLIN1,NA
ERLIN2,NA
ZFHX3,1
OTUB1,NA
RNF128,NA
HSD17B10,NA
TRMT10C,NA
ZNF335,NA
CNOT6,NA
RFX6,NA
IL6ST,1
CUL5,NA
CUL3,1
CUL2,NA
PHB2,NA
PHB,NA
RANGAP1,NA
DCTN3,NA
DCTN2,NA
CRLF2,1
OSMR,NA
RSF1,0
CASP1,NA
NR1H3,NA
NR1H2,NA
PEX14,NA
PEX13,NA
GRIN1,NA
GRIN2B,NA
WASL,NA
ITSN1,NA
IFNGR1,NA
IFNGR2,NA
CLOCK,NA
ARNTL2,NA
MSH4,NA
MSH5,NA
MLH3,NA
POLR3D,NA
POLR3E,NA
POLR3H,0
CRCP,0
CYBB,NA
CYBA,NA
BCKDHB,NA
BCKDHA,NA
MAT2A,NA
MAT2B,0
CYP1A2,1
POR,NA
CYP2C19,0
PDHA2,NA
PDHB,NA
PDHA1,NA
SDHB,1
SDHA,1
PDP1,NA
PDPR,NA
PPP2R1A,1
PPP2CA,NA
MEP1A,NA
MEP1B,NA
ATP4A,NA
ATP4B,NA
ARNT,1
EPAS1,1
CXCL10,NA
CXCR3,NA
GNG2,NA
F2R,NA
F2RL2,NA
EPHA8,NA
EFNA5,NA
PIAS1,NA
VCL,NA
UBE2D1,NA
MYB,1
NR3C1,NA
NCOA2,1
HHIP,NA
IHH,NA
ACVR1,1
STK39,NA
PRKCQ,NA
GRB10,NA
NFATC2,1
FOXP3,NA
HUWE1,NA
MAP3K8,NA
GNA13,NA
GNA12,NA
AFDN,1
PLCG2,NA
LYN,NA
F2,NA
HDAC3,NA
ANKRA2,NA
NOS3,1
TGFBRAP1,NA
SDC4,1
CCL5,NA
TCF7L2,1
DHH,NA
FOSL1,NA
FZD2,NA
WNT5A,NA
SNX1,NA
SNX2,NA
SMARCA2,NA
CEBPA,1
FOSL2,NA
EFNB1,NA
EPHB1,NA
BTC,NA
YY1,NA
IL1R1,NA
IL1RN,NA
EPO,NA
EPOR,NA
NTRK1,1
FADD,NA
EFNA1,NA
EPHA2,NA
ASAP2,0
DLL4,NA
NOTCH4,NA
TCF7,NA
TRAF2,NA
SMO,1
ARRB2,NA
TRRAP,1
KAT2A,NA
EPHB4,NA
EFNB2,NA
PTPN2,NA
PAWR,NA
PRKCZ,NA
ZBTB17,NA
IRF8,NA
FGFR4,1
FGF2,1
FGFR3,1
FGFR2,1
JUNB,NA
EP300,1
CRKL,NA
RAPGEF1,NA
LRP8,NA
PITX2,NA
PDPK1,NA
SPOP,1
LRP6,NA
DKK1,NA
PARK7,0
GPC1,NA
TDGF1,NA
LEF1,1
PGF,NA
TCF3,1
MYOD1,1
NRG1,1
PFDN5,NA
ASAP1,NA
FGF1,NA
FGF4,NA
FGF19,NA
TUBA1B,NA
PTP4A1,NA
TNFSF10,NA
ACVRL1,NA
BRAF,1
NDEL1,0
TACC3,NA
PTPA,0
ACVR2A,1
ARNTL,NA
SPEN,1
TIRAP,NA
PPP2R3B,NA
RFXANK,NA
CDH2,NA
DOCK1,NA
ELMO1,NA
SDC2,NA
AURKB,1
TNFRSF10C,NA
TBP,NA
SPI1,NA
DOK2,NA
CTNND1,1
CRK,NA
HDAC5,NA
ARFGAP1,NA
KDELR1,NA
HDAC6,NA
CBLB,1
FZD1,NA
WNT3A,NA
HDAC11,0
PRL,1
PER1,1
DTX1,NA
EWSR1,1
SOS2,NA
BIRC2,NA
BIRC3,1
RICTOR,NA
CDK6,1
DOCK2,NA
BTRC,NA
ELK1,NA
SRF,NA
SMAD5,0
USF2,NA
CSTF1,NA
TUBG1,NA
NINL,0
SMAD9,0
NCF1,NA
NCF2,NA
TUBB2A,NA
TNKS,NA
TERF1,NA
BAMBI,NA
ABI1,1
MAPK8,1
TOR1A,0
COL1A1,1
COL1A2,NA
RACGAP1,0
KIF23,NA
TOLLIP,NA
RPA2,NA
RPA1,NA
TGFBR3,NA
ERCC6L,NA
SLC6A3,NA
AR,1
NF1,1
ARHGEF4,NA
KLC1,NA
SPAG9,NA
CXCL8,0
CXCR2,NA
IL1R2,NA
IL1A,NA
RIPK2,NA
NOD2,NA
HES1,NA
EPHA3,1
RANBP9,NA
GNAQ,1
CYTH2,NA
RAB11FIP3,NA
RAB11A,NA
PML,1
E2F4,NA
IPCEF1,0
PIAS2,NA
CLIP1,1
PAFAH1B1,NA
CITED1,0
HSPA8,NA
SEPT1,NA
CCM2,0
FOXO3,1
PTPN21,NA
PLD1,NA
EPHA5,NA
TCF7L1,NA
MXD1,0
SH3GL2,NA
SH3KBP1,NA
SH2B2,0
SH2B1,NA
TRAPPC4,NA
NCOR2,1
BMP7,NA
SOSTDC1,NA
CDK11B,NA
WT1,1
IRS1,NA
NCK2,NA
BCL3,1
FLT4,1
VEGFC,1
EREG,1
EXOC4,NA
EXOC3,NA
CENPU,0
SHC1,NA
FKBP8,NA
SP1,NA
IKBKG,NA
PDGFC,NA
MYOCD,NA
TBL1XR1,1
TBL1X,NA
GIPC1,0
PPP1R12A,NA
PPP1CB,NA
TERF2,NA
SMARCB1,1
MEF2D,NA
CABIN1,NA
LRP5,NA
VEGFD,0
TACC1,NA
DAAM1,NA
SMARCE1,1
TP63,1
MUC20,NA
ENG,NA
SDC1,NA
GNB3,NA
GNGT2,NA
MAF,1
SET,1
JUP,NA
DSP,NA
SMAD6,NA
RUVBL2,NA
VEGFB,NA
FOXO1,1
CSF1,NA
CSF1R,1
STAT6,1
PARP14,NA
IRF4,1
MAPK9,NA
NFATC3,NA
LRPAP1,NA
ONECUT1,NA
TRPV6,NA
UBE2D3,NA
PLCB2,NA
PRKCD,NA
EPHA4,NA
CREB1,1
RACK1,0
SPTBN1,NA
TOP3A,NA
BLM,1
ATF3,NA
GIT1,NA
ARHGEF7,NA
LHCGR,NA
RUVBL1,NA
BCOR,1
CDK5R2,NA
COPS5,NA
BUB3,NA
BUB1,NA
TLR3,NA
TICAM1,NA
BCL2L1,1
GNB5,NA
PIAS3,NA
NSMCE3,NA
E2F1,1
PDGFD,NA
ETS1,1
SPC24,NA
NDC80,NA
NRG3,NA
SPATA13,NA
MAPK14,NA
NFATC1,NA
MEF2C,NA
CNGB3,NA
CNGA3,NA
AKT2,1
HEY2,NA
EPHB2,NA
SKI,1
PDCD4,NA
AP2A1,NA
AP2M1,NA
CASK,NA
NRG2,NA
MAPK12,NA
SNTA1,NA
KATNA1,NA
IL1B,1
ABL1,1
USP7,NA
DAXX,1
HDAC7,NA
TRIM28,NA
HES6,NA
WWP1,NA
CXCL9,NA
GATA2,1
TERT,1
CTNNA1,NA
SIRT2,NA
HOXA10,NA
CRY2,NA
FBXW11,NA
FOXO4,1
CALM3,NA
GAP43,NA
CSNK1A1,NA
PSMA3,NA
STAT5A,NA
EZR,1
TLE2,NA
NR2C1,NA
DLG1,NA
PRKDC,NA
DCLRE1C,NA
CTTN,NA
NR0B2,NA
IRS2,NA
JDP2,NA
HIF3A,NA
ROR2,NA
MCL1,NA
RIMS1,NA
UNC13B,0
ESR2,1
LGALS3,1
HDAC8,NA
SMG5,NA
TRAF1,NA
PARVG,NA
PRC1,NA
ANP32A,NA
NDN,NA
SAFB,NA
PEBP1,NA
RYBP,NA
SH2D2A,NA
MAP3K2,NA
COL17A1,NA
RB1,1
CCND2,1
CCR5,NA
HTT,NA
HSPB1,NA
CAPN1,NA
CAPNS1,NA
PROS1,NA
AIP,NA
CAPN2,NA
TNFRSF11A,NA
TNFSF11,NA
HOPX,NA
GH1,NA
BIN2,NA
HDAC9,NA
CD247,NA
BMPR2,NA
BMPR1A,1
IGF1R,1
SKIL,NA
BDKRB2,NA
STAT2,NA
CTBP1,NA
GATA4,NA
NKX2-5,NA
CFLAR,NA
ARHGDIB,NA
RHOA,1
PELP1,NA
CTLA4,NA
ERBB3,1
MYT1,NA
PPARA,NA
IL3RA,NA
LEP,NA
RBBP8,NA
CD36,NA
YWHAH,NA
IFNAR2,NA
RBL1,NA
NFE2L2,1
KEAP1,1
SHH,NA
AGTR1,NA
CXCR4,1
CCNH,NA
CDK7,NA
AGO2,NA
DICER1,1
CLCA1,NA
MST1R,1
RPSA,NA
DST,NA
PLEC,NA
RAC1,1
ERBIN,NA
VIM,1
CD151,NA
YES1,NA
YWHAQ,0
EIF6,NA
KIF7,NA
PTCH2,NA
GRK2,NA
DYRK1A,NA
STK36,NA
NFAM1,NA
ZAP70,NA
SYK,1
NEDD9,NA
WIPF1,NA
RAP1A,NA
RASGRP2,NA
CD5,NA
SLA,NA
ITK,1
FCRL3,0
GRAP,0
SKAP1,NA
RASGRP1,NA
DNM2,1
CARD11,1
GIT2,0
VASP,NA
ENAH,NA
EVL,NA
TUBB,NA
PTPN3,NA
DUSP3,NA
TRAT1,NA
PTPN12,NA
TXK,NA
MUC1,1
WAS,1
SKAP2,NA
NCL,NA
